"Investimento incial /anos";Crescimento anual médio estimado;Inflacção anual média estimada;Aproximação para valor actual de rendimento futuro
€1000,00;7%;1,5%;
1;€1070,00;€1015,00;€1054,19
2;€1144,90;€1030,23;€1111,31
3;€1225,04;€1045,68;€1171,53
4;€1310,80;€1061,36;€1235,01
5;€1402,55;€1077,28;€1301,93
6;€1500,73;€1093,44;€1372,48
7;€1605,78;€1109,84;€1446,85
8;€1718,19;€1126,49;€1525,25
9;€1838,46;€1143,39;€1607,90
10;€1967,15;€1160,54;€1695,03
11;€2104,85;€1177,95;€1786,88
12;€2252,19;€1195,62;€1883,70
13;€2409,85;€1213,55;€1985,78
14;€2578,53;€1231,76;€2093,38
15;€2759,03;€1250,23;€2206,82
16;€2952,16;€1268,99;€2326,40
17;€3158,82;€1288,02;€2452,46
18;€3379,93;€1307,34;€2585,35
19;€3616,53;€1326,95;€2725,44
20;€3869,68;€1346,86;€2873,13
